Leaderboard name,#Empty leaderboards (non-pwc),Downloadable format,Evaluation workflows (non-pwc),Organization strategies (non-pwc),Platforms,Platforms with model linkage (non-pwc),Presentation formats (non-pwc),Publication venues,Release organizations (non-pwc),Submission channels (non-pwc),Participatory models,Evaluation metrics (pwc),Organization strategies,Release organizations,Supported benchmarks,#Supported benchmark,#Presentation format,#Organization strategy,#Release organization,#Host platform,#Evaluation record,#Participatory model,#Leaderboard,#Evaluation metric (pwc)
AI Model Rankings (en),,['CSV'],['2'],"['Aggregated Result', 'Supported Functionality']","['Hugging Face Spaces', 'independent platform']",,"{'Hugging Face Spaces': ['Sortable Table'], 'independent platform': ['Sortable Table']}",['report'],['University of Hong Kong'],set(),"['文心一言4.0', '百川大模型（Baichuan2)', 'GPT 4', 'GPT 4-Turbo', '商汤日日新', 'Llama2 70B', '文心一言4（ERNIEBot-4）', '360智脑', '文心一言4', 'GPT4-Turbo', 'MiniMax', 'Llama 2', '讯飞星火v3.0', '智谱清言（ChatGLM3）', '百川大模型', '百川大模型（Baichuan2）', 'Gemini Pro', 'GPT 3.5-Turbo', 'GPT3.5-Turbo', '通义千问2.0', '悟道·天鹰', 'GPT4', 'Claude 2', 'Claude2', '智谱清言', 'BLOOMZ-7B']",set(),"['Aggregated Result', 'Supported Functionality']",{'University of Hong Kong'},"['AAT', '100poisonMpts', 'AQUA-RAT', 'shortpedia', 'LSAT', 'BBC', 'CNN', 'MMLU', 'LogiEval', 'Safety Prompts']",10.0,1.0,2.0,1.0,2.0,64.0,26.0,4.0,
AI2D,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ECCV'],[],set(),"['Gemini Ultra', 'SMoLA-PaLI-X Specialist Model', 'SMoLA-PaLI-X Generalist Model', 'DUBLIN']",['exact match'],{'Task'},{'Papers With Code'},['AI2D'],1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0
AI2D,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ECCV'],[],set(),"['Gemini Ultra', 'SMoLA-PaLI-X Specialist Model', 'SMoLA-PaLI-X Generalist Model', 'DUBLIN']",['exact match'],{'Task'},{'Papers With Code'},['AI2D'],1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0
AISHELL-1,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['O-COCOSDA'],[],set(),"['Qwen-Audio', 'BRA-E', 'CTC-CRF 4gram-LM', 'SE-WSBO With LM', 'BAT', 'UMA', 'CTC/Att', 'Paraformer-large', 'U2', 'Att', 'MMSpeech With LM', 'Paraformer']","['word error rate', '#parameters']",{'Task'},{'Papers With Code'},['AISHELL-1'],1.0,2.0,1.0,1.0,1.0,13.0,12.0,1.0,2.0
AlignBench,,[],['6'],['Evaluator'],"['GitHub', 'independent platform']",,"{'GitHub': ['Regular Table'], 'independent platform': ['Regular Table']}",['report'],"['Tsinghua University', 'Zhipu AI', 'Renmin University of China', 'Sichuan University', 'Lehigh University']",{'Submission Portal'},"['baichuan2-13b-chat', 'qwen-7b-chat', 'chatglm-turbo（智谱清言）', 'gpt-4-1106-preview', 'gpt-4-0613', 'chatglm2-6b', 'spark_desk_v2（讯飞星火）', 'internlm-chat-7b', 'qwen-14b-chat', 'chatglm3-6b', 'erniebot-3.0（文心一言）', 'internlm-20b', 'llama-2-13b-Chinese-chat', 'Chinese-llama-2-7b-chat', 'gpt-3.5-turbo-0613', 'chatglm-pro（智谱清言）', 'baichuan2-7b-chat']",set(),['Evaluator'],"{'Renmin University of China', 'Tsinghua University', 'Sichuan University', 'Lehigh University', 'Zhipu AI'}",['AlignBench'],1.0,1.0,1.0,5.0,2.0,34.0,17.0,2.0,
AlpacaEval (v2),,['CSV'],['7'],['Leaderboard Version'],['GitHub'],yes,{'GitHub': ['Regular Table']},[],['Stanford University'],{'Pull Request'},"['InternLM2 Chat 20B', 'longest', 'Tulu 2+DPO 70B', 'Pythia 12B OASST SFT', 'Vicuna 33B v1.3', 'OpenChat-13B', 'LLaMA2 Chat 7B Evol70k-NEFT', 'UltraLM 13B V2.0', 'PairRM 0.4B+Zephyr 7B Beta', 'UltraLM 13B', 'MiniChat 3B', 'OpenBuddy-Falcon-7b-v6', 'PairRM 0.4B+Yi-34B-Chat', 'Falcon 7B Instruct', 'GPT-4', 'Guanaco 33B', 'GPT 3.5 Turbo 0301', 'OpenChat V2 13B', 'humans', 'PairRM 0.4B+Tulu 2+DPO 13B', 'Cohere Command', 'CausalLM-14B', 'Zephyr 7B Alpha', 'ChatGLM2-6B', 'Nous Hermes 13B', 'Phi 2', 'PairRM 0.4B+Tulu 2+DPO 70B', 'text_davinci_001', 'LLaMA2 Chat 70B', 'Vicuna 13B v1.3', 'Evo 7B', 'Falcon 40B Instruct', 'vicuna-13b', 'Dolphin 2.2.1 Mistral 7B', 'Claude 2.1', 'JinaChat', 'Claude2 Alpaca 13B', 'claude', 'Alpaca Farm PPO Human 7B', 'OpenBudddy-LLaMA2-70B-v10.1', 'guanaco-65b', 'Snorkel', 'PlatoLM 7B', 'LMCocktail-10.7B-v1', 'Humpback LLaMa2 70B', 'OpenHermes-2.5-Mistral', 'OpenChat8192-13B', 'DEITA 7B v1.0', 'Claude 2', 'alpaca_eval_gpt4', 'Guanaco 13B', 'OpenBuddy-Falcon-40B-v9', 'Starling LM 7B alpha', 'Baichuan-13B-Chat', 'MiniChat 1.5 3B', 'XwinLM 13b V0.1', 'GPT 3.5 Turbo 0613', 'Baize-v2 7B', 'LLaMA 33B OASST SFT', 'Evo v2 7B', 'XwinLM 7b V0.1', 'WizardLM 13B', 'CUT 13B', 'OpenChat V3.1 13B', 'Tulu 2+DPO 7B', 'OpenBuddy-LLaMA-65B-v8', 'Davinci001', 'Mistral 7B v0.2', 'alpaca_eval_gpt4_turbo_fn', 'OpenBuddy-LLaMA-30B-v7.1', 'GPT-3.5', 'Mixtral 8x7B v0.1', 'GPT-4 Turbo', 'Tulu 2+DPO 13B', 'GPT-4 0314', 'Humpback LLaMa 65B', 'GPT-4 0613', 'lmsys_gpt4', 'Vicuna 7B v1.5', 'Minotaur 13B', 'text_davinci_003', 'Pythia 12B SFT', 'chatgpt', 'Vicuna 7B', 'alpaca_farm_greedy_gpt4', 'Zephyr 7B Beta', 'Mistral Medium', 'Vicuna 13B v1.5', 'Recycled WizardLM 7B V2.0', 'LLaMA 33B OASST RLHF', 'gpt4', 'WizardLM 13B V1.1', 'Recycled WizardLM 7B V1.0', 'airoboros 33B', 'OpenBudddy-LLaMA2-13B-v11.1', 'alpaca-7b', 'Gemini Pro', 'Yi 34B Chat', 'OpenCoderPlus-15B', 'LLaMA2 Chat 7B', 'Vicuna 7B v1.3', 'Claude', 'airoboros 65B', 'WizardLM 13B V1.2', 'Phi-2 SFT', 'Alpaca 7B', 'LLaMA2 Chat 13B', 'Guanaco 7B', 'alpaca-farm-ppo-human', 'Phi-2 DPO', 'Vicuna 13B', 'Baize-v2 13B', 'alpaca_eval_cot_gpt4_turbo_fn', 'Alpaca Farm PPO Sim', 'GPT 3.5 Turbo 1106', 'OpenChat V2-W 13B', 'XwinLM 70b V0.1', 'Guanaco 65B']",set(),['Leaderboard Version'],{'Stanford University'},"['Koala', 'HH-RLHF', 'OASST1', 'Self-Instruct', 'Vicuna']",5.0,1.0,1.0,1.0,1.0,126.0,118.0,3.0,
Amazon Review,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['GitHub'],[],set(),"['amazon-reviews-input-output-1.3b', 'amazon-reviews-input-output-350m', 'amazon-reviews-input-output-6.7b', 'amazon-reviews-input-output', 'amazon-reviews-input-output-6.7b-best', 'amazon-reviews-input-output-13b']",['accuracy'],{'Task'},{'Papers With Code'},['Amazon Review'],1.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0
ANGO,,[],['7'],['Supported Functionality'],['Hugging Face Spaces'],,{'Hugging Face Spaces': ['Sortable Table']},['report'],['Independent Contributor'],{'Pull Request'},"['Baichuan2-7B', 'ChatGPT', 'Qwen-7B', 'Human', 'GPT-4', 'ChatGLM2-6B', 'ChineseLLaMA2-7B', 'ChineseLLaMA2-13B', 'LLaMA2-13B', 'Baichuan2-13B', 'Moss-7B', 'LLaMA-7B', 'InternLM-7B', 'Total', 'Baichuan-7B', 'LLaMA-13B', 'LLaMA2-7B', 'Atom-7B', 'ChatGLM-6B', 'Baichuan-13B', 'ChineseLLaMA-13B']",set(),['Supported Functionality'],{'Independent Contributor'},['ANGO'],1.0,1.0,1.0,1.0,1.0,62.0,21.0,3.0,
ANLI,,[],['6'],[],['GitHub'],yes,{'GitHub': ['Regular Table']},['ACL'],"['University of North Carolina Chapel Hill', 'Meta']","{'Email', 'Pull Request'}","['BERT Large', 'GPT-3', 'ALBERT', 'XLNet Large', 'ALUM', 'RoBERTa Large', 'InfoBERT']",set(),[],"{'University of North Carolina', 'Meta'}",['ANLI'],1.0,1.0,0.0,2.0,1.0,7.0,7.0,1.0,
ANLI,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ACL'],[],set(),"['ChatGPT', 'PaLM 2-S', 'ALUM', 'Bloomberg GPT', 'OPT 66B', 'PaLM 2-L', 'T5-3B', 'InfoBERT', 'BLOOM 176B', 'PaLM 540B', 'GPT-3', 'T0-11B', 'XLNet', 'PaLM 2-M', 'GPT-NeoX', 'RoBERTa']","['a1', 'a2', 'a3']",{'Task'},{'Papers With Code'},['ANLI'],1.0,2.0,1.0,1.0,1.0,21.0,16.0,1.0,3.0
APPS,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['NeurIPS'],[],set(),"['AlphaCode 1B', 'WizardCoder-15b', 'CodeBot-15b', 'Codex 12B', 'Codex davinci-002', 'CodeChain+WizardCoder-15b', 'AlphaCode 1B Filtered from  50000', 'GPT2 1.5B', 'GPT-Neo 2.7B', 'CodeRL+CodeT5', 'GPT-J 6B']","['pass@5', 'pass@1000', 'pass@any', 'pass@1']",{'Task'},{'Papers With Code'},['APPS'],1.0,2.0,1.0,1.0,1.0,12.0,11.0,1.0,4.0
ARC Challenge,,['CSV'],['6'],[],['independent platform'],yes,"{'independent platform': ['Sortable Table', 'Scatter Plot']}",['report'],['Allen Institute for AI'],{'Submission Portal'},"['GenMC', 'arcRoberta, erenup', 'UnifiedQA', 'xlnet + roberta', 'DGEM', 'Information Retrieval Solver', 'Govindarajalu L', 'Two-Stage Inference', 'BiDAF', 'Sanity Check', 'NCRF++ / match-LSTM', 'AristoRoBERTaV7', 'ARC: BART-QA Model', 'FreeLB-RoBERTa', 'ZeroQA', 'UnifiedQA - v2', 'AMR-SG + AristoRoBERTaV7', 'Attentive Ranker', 'ARChaeopteryx', 'Reading Strategies', 'ET-RR', 'BERT MRC Transfer', 'Multi-Task BERT', 'QA Transfer', 'BiLSTM Max-out', 'ARCCorpusRoBERTa', 'KG^2', 'AristoBERTv7', 'DGEM-OpenIE', 'ST-MoE-32B', 'TriAN + f', 'Guess All', 'UnifiedQA + ARC MC/DA + IR', 'Decomposable Attention', 'CGR+ AristoRoBERTav7', 'TupleInference', 'Unsupervised AHE', 'TableILP']",set(),[],{'Allen Institute for AI'},['ARC Challenge'],1.0,2.0,0.0,1.0,1.0,41.0,38.0,1.0,
ARC Challenge,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['report'],[],set(),"['OPT-175B', 'BLOOM', 'LLaMA 65B', 'Mistral 7B', 'GPT-3.5', 'LLaMA 7B', 'OPT', 'LLaMA-7B+CFG', 'Bloomberg GPT', 'GPT-4', 'GLaM 64B/64E', 'PaLM 540B', 'GPT-3', 'GLaM', 'PaLM 2', 'SparseGPT', 'LLaMA 33B', 'GAL 120B', 'LLaMA-30B+CFG', 'PaLM 2-S', 'GPT-3 175B', 'LLaMA-65B+CFG', 'phi-1.5-web 1.3B', 'OPT 66B', 'PaLM 2-L', 'LLaMA 13B', 'ST-MoE-32B', 'BLOOM 176B', 'LLaMA-13B+CFG', 'PaLM 2-M', 'GPT-NeoX']",['accuracy'],{'Task'},{'Papers With Code'},['ARC Challenge'],1.0,2.0,1.0,1.0,1.0,67.0,31.0,2.0,1.0
ASDiv,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ACL'],[],set(),"['ATHENA', 'LSTM Seq2Seq with RoBERTa', 'GTS with RoBERTa', 'Graph2Tree with RoBERTa']",['execution accuracy'],{'Task'},{'Papers With Code'},['ASDiv'],1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0
