Leaderboard name,#Empty leaderboards (non-pwc),Display format (non-pwc),Feedback manners (iw),Host platforms,Host platforms with leaderboard downloading functionality (non-pwc),Host platforms with model linkage (non-pwc),Publishing organizations (non-pwc),Publishing venues,Structuring strategies (non-pwc),Submission artifacts (non-pwc),Submission manners (non-pwc),Supported languages,Supported modalities
CMMMU,,gh:Regular Table+Sortable Table+Table Screenshot,,gh,,,"Multimodal Art Projection Research Community,Hong Kong University of Science and Technology,University of Waterloo,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Peking University,Hong Kong Polytechnic University,Waseda University,University of Manchester,01.AI",Preprint,"Aggregated Result,Supported Functionality,Task",,,Chinese,Text
CNN DM,,,,pwc,,,,CoNLL,,,,English,Text
CodeContests,,,,pwc,,,,Science,,,,English,"Text,Code"
Coding LLMs Leaderboard,,iw:Bar Chart,"Contact,Issue",iw,,,TabbyML,NeurIPS,Task,,,English,"Text,Code"
CoLA,,,,pwc,,,,TACL,,,,English,Text
Common Voice,,,,pwc,,,,LREC,,,,"Abkhaz,Arabic,Basque,Breton,Catalan,Chinese(China),Chinese(Taiwan),Chuvash,Dhivehi,Dutch,English,Esperanto,Estonian,French,German,Hakha Chin,Indonesian,Interlingua,Irish,Italian,Japanese,Kabyle,Kinyarwanda,Kyrgyz,Latvian,Mongolian,Persian,Portuguese,Russian,Sakha,Slovenian,Spanish,Swedish,Tamil,Tatar,Turkish,Votic,Welsh","Text,Audio"
ComplexWebQuestions,,,,pwc,,,,NAACL,,,,English,"Text,Code"
CompMix,,iw:Regular Table,Contact,iw,,iw,Max Planck Institute for Informatics,Preprint,,,,English,Text
CoNaLa,,,,pwc,,,,MSR,,,,English,"Text,Code"
CoNLL (2004),,,,pwc,,,,CoNLL,,,,English,Text
COPA,,,,pwc,,,,SemEval,,,,English,Text
CoQA,,,,pwc,,,,TACL,,,,English,Text
CORE-MM,,gh:Sortable Table,,"gh,pwc",,,"ByteDance,Chinese Academy of Sciences,University of Texas Austin",Preprint,,Prediction Results,Email,English,"Text,Image"
CosmosQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,EMNLP,,Prediction Results,Submission Portal,English,Text
CrossNER,,,,pwc,,,,AAAI,,,,English,Text
CrowS-Pairs,,,,pwc,,,,EMNLP,,,,English,Text
CRUXEval,,gh:Regular Table,,gh,,gh,"Massachusetts Institute of Technology,Meta",Preprint,Task,,,English,"Text,Code"
CSQA (v2),,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,NAACL,,Prediction Results,Submission Portal,English,Text
DecodingTrust,,gh:Sortable Table,,gh,,gh,University of Illinois Urbana Champaign,NeurIPS,,Prediction Results+Evaluation Results,Pull Request,English,Text
DiDeMo,,,,pwc,,,,ICCV,,,,English,"Text,Video"
Do-Not-Answer,,gh:Regular Table+Bar Chart+Heatmap,,gh,,,"LibrAI,Mohamed bin Zayed University of AI,University of Melbourne",Preprint,"Evaluator,Supported Functionality",,,English,Text
DocVQA,,,,pwc,,,,WACV,,,,English,"Text,Image"
DocVQA,,iw:Sortable Table+Bar Chart,Contact,iw,,iw,Computer Vision Center ,WACV,,Prediction Results,Submission Portal,English,"Text,Image"
DROP,,,,pwc,,,,NAACL,,,,English,Text
DS-1000,,gh:Regular Table,,gh,,gh,"University of Hong Kong,Peking University,Stanford University,University of California Berkeley,University of Washington,Meta,Carnegie Mellon University",PMLR,,,,English,"Text,Code"
DyVal,,gh:Regular Table,,gh,,,"Microsoft,Georgia Institute of Technology,Duke University,Stanford University",Preprint,"Aggregated Result,Supported Functionality",,,English,Text
EQ-Bench Leaderboard,,gh:Sortable Table,"Contact,Issue",iw,,iw,Independent Contributor,Preprint,,,,English,Text
EvalPlus,,gh:Regular Table+Scatter Plot,,gh,,gh,"University of Illinois Urbana Champaign,Nanjing University",NeurIPS,"Aggregated Result,Benchmark","Inference API,Model Repository",Issue,English,"Text,Code"
FActScore,,gh:Regular Table,,gh,,gh,"University of Washington,University of Massachusetts Amherst,Allen Institute for AI,Meta",EMNLP,,,,English,Text
Factuality Leaderboard,,gh:Regular Table,,gh,,,"Shanghai Jiao Tong University,Carnegie Mellon University,City University of Hong Kong,New York University,Meta,Hong Kong University of Science and Technology,Shanghai AI Laboratory",Preprint,,,,English,"Text,Code"
FELM,,gh:Regular Table,,gh,,,"City University of Hong Kong,Hong Kong University of Science and Technology,National University of Singapore,Carnegie Mellon University,Shanghai Jiao Tong University",NeurIPS,,,,English,Text
FewCLUE,,,,pwc,,,,Preprint,,,,Chinese,Text
FinanceIQ,,gh:Regular Table,,gh,,gh,Duxiaoman,,#Prompt Example,,,English,Text
FinQA,,,,pwc,,,,EMNLP,,,,English,Text
FlagEval,?,iw:Sortable Table,"Contact,Issue",iw,,,"Peking University,Nankai University,Beijing Normal University,Chinese Academy of Sciences,Beijing University of Posts and Telecommunications,Beihang University,China Electronics Standardization Institute,Minjiang University",,"Supported Functionality,Supported Modality,Model Size,Model Type",Model Repository+Model Configuration,Submission Portal,"English,Chinese","Text,Code,Image,Audio"
FLEURS,,,,pwc,,,,SLT,,,,"Catalan,Croatian,Danish,Dutch,AmericanEnglish,Finnish,French,German,Greek,Hungarian,Irish,Italian,LatinAmericanSpanish,Maltese,Portuguese,Swedish,Welsh,Bulgarian,Czech,Estonian,Georgian,Latvian,Lithuanian,Polish,Romanian,Russian,Slovak,Slovenian,Ukrainian,Arabic,Kazakh,Kyrgyz,Mongolian,Pashto,Persian,Tajik,Turkish,Ganda,Swahili,Zulu,Assamese,Bengali,Hindi,Oriya,Punjabi,Tamil,Telugu,Cebuano,Indonesian,Lao,Thai,Vietnamese,Cantonese,Japanese,Mandarin,Asturian,Bosnian,Galician,Icelandic,Kabuverdianu,Luxembourgish,Norwegian,Occitan,Armenian,Belarusian,Macedonian,Serbian,Azerbaijani,Hebrew,Sorani-Kurdish,Uzbek,Afrikaans,Amharic,Fula,Hausa,Igbo,Kamba,Lingala,Luo,Northern-Sotho,Nyanja,Oromo,Shona,Somali,Umbundu,Wolof,Xhosa,Yoruba,Gujarati,Kannada,Malayalam,Marathi,Nepali,Sindhi,Urdu,Filipino,Javanese,Khmer,Malay,Maori,Burmese,Korean","Text,Audio"
Flickr30K,,,,pwc,,,,TACL,,,,English,"Text,Image"
Flores-101,,,,pwc,,,,TACL,,,,English,Text
Food-101,,,,pwc,,,,ECCV,,,,English,"Text,Video"
FSD50K,,,,pwc,,,,TASLP,,,,English,"Text,Audio"
GAIA,,hf:Sortable Table,,hf,,hf,"Meta FAIR,Hugging Face,AutoGPT,Meta GenAI",Preprint,Evaluation Dataset,Prediction Results,Submission Portal,English,Text
GAOKAO-Bench,,gh:Regular Table+Bar Chart,,gh,,,"Fudan University,East China Normal University",Preprint,,,,"English,Chinese",Text
GENIA,,,,pwc,,,,Bioinformatics,,,,English,Text
GENIE,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,EMNLP,Benchmark,Prediction Results,Submission Portal,English,Text
GQA,,,,pwc,,,,CVPR,,,,English,"Text,Image"
GSM8K,,,,pwc,,,,Preprint,,,,English,Text
HalluQA,,gh:Regular Table,,gh,,,"Fudan University,Shanghai AI Laboratory",Preprint,,,,Chinese,Text
HallusionBench,,,,pwc,,,,Preprint,,,,English,"Text,Image"
HallusionBench,,gh:Regular Table,,gh,,,University of Maryland College Park,Preprint,,,,English,"Text,Image"
HEIM,,iw:Sortable Table,"Contact,Issue",iw,,,"Stanford University,Microsoft,Aleph Alpha,Pohang University of Science and Technology,Adobe,Carnegie Mellon University",NeurIPS,"Benchmark,Supported Language,Supported Functionality,Task",,,"English,Chinese,Hindi,Spanish","Text,Image"
HellaSwag,,,,pwc,,,,ACL,,,,English,Text
HellaSwag Leaderboard,,iw:Regular Table,"Contact,Issue",iw,,iw,"University of Washington,Allen Institute for AI",ACL,,Prediction Results,Email,English,Text
HELM Classic,?,iw:Sortable Table,"Contact,Issue",iw,iw,,Stanford University,Preprint,"Prompt Design,Task,Benchmark,Aggregated Result,Evaluation Dataset,Evaluation Metric,Supported Language,Supported Functionality,Supported Modality,Tokenizer",,,"English,Chinese","Text,Code"
HELM Lite,,iw:Sortable Table,"Contact,Issue",iw,,,Stanford University,,"Benchmark,Task,Supported Functionality",,,"English,Czech,German,French,Hindi,Russian",Text
HHEM Leaderboard,,"gh:Regular Table,hf:Sortable Table",,"gh,hf",,,Vectara,,,Model Repository,Submission Portal,English,Text
HMDB51,,,,pwc,,,,ICCV,,,,English,"Text,Video"
HumanEval,,,,pwc,,,,Preprint,,,,English,"Text,Code"
HumanEval,,gh:Regular Table,,gh,,gh,"OpenAI,Anthropic,Zipline",Preprint,,,,English,"Text,Code"
ImageNet,,,,pwc,,,,CVPR,,,,English,"Text,Image"
iNaturalist,,,,pwc,,,,CVPR,,,,English,"Text,Image"
InfiCoder-Eval,,gh:Sortable Table,,gh,,gh,"ByteDance,Peking University",Preprint,,,,English,"Text,Code"
InfiMM-Eval,,gh:Sortable Table,,"gh,pwc",,gh,"ByteDance,Chinese Academy of Sciences,University of Texas Austin",Preprint,,Prediction Results,Email,English,"Text,Image"
InfographicVQA,,,,pwc,,,,WACV,,,,English,"Text,Image"
InfographicVQA,,iw:Sortable Table+Bar Chart,Contact,iw,,iw,Computer Vision Center ,WACV,,Prediction Results,Submission Portal,English,"Text,Image"
InstructEval,,gh:Sortable Table+Regular Table,,gh,,gh,"Singapore University of Technology and Design,Alibaba Group DAMO Academy",Preprint,"Task,Supported Functionality",,,English,Text
InterCode,2,gh:Regular Table,,gh,,,Princeton University,Preprint,Benchmark,,,English,"Text,Code"
iVQA,,,,pwc,,,,ICCV,,,,English,"Text,Video"
JFT-300M,,,,pwc,,,,ICCV,,,,English,"Text,Image"
JustEval,,gh:Sortable Table,,gh,,,"Allen Institute for AI,University of Washington",Preprint,"Evaluation Dataset,Supported Functionality,Task",,,English,Text
KAgentBench,,gh:Regular Table,,gh,,,"Kuaishou,Harbin Institute of Technology",Preprint,Evaluator,,,English,Text
Kinetics,,,,pwc,,,,Preprint,,,,English,"Text,Video"
KoLA,,iw:Regular Table,"Contact,Issue",iw,,,Tsinghua University,Preprint,Leaderboard Launch Date,"Inference API+Model Configuration,Model Repository+Model Configuration",Submission Portal,English,Text
KQA Pro,,,,pwc,,,,ACL,,,,English,Text
L-Eval,,gh:Sortable Table+Bar Chart,,gh,,,"Fudan University,University of Hong Kong,University of Illinois Urbana Champaign,Shanghai AI Laboratory",Preprint,"Aggregated Result,Evaluator,Evaluation Metric",Prediction Results+Evaluation Results,Email,English,Text
LAiW Leaderboard,,hf:Sortable Table+Radar Chart,,"gh,hf",hf,,"Sichuan University,ChanceFocus,Wuhan University,Southwest Petroleum University",Preprint,"Task,Aggregated Result",,,Chinese,Text
LAMBADA,,,,pwc,,,,ACL,,,,English,Text
LawBench,,"iw:Sortable Table+Bar Chart,gh:Regular Table","Contact,Issue","gh,iw",,,"Nanjing University,Amazon Alexa AI Lab,Saarland University,Shanghai AI Laboratory",Preprint,#Prompt Example,,,English,Text
LibriSpeech,,,,pwc,,,,ICASSP,,,,English,"Text,Audio"
LLaVA-Bench,,,,pwc,,,,NeurIPS,,,,English,"Text,Image"
LLM API Hosts Leaderboard,,iw:Sortable Table,Contact,iw,,iw,Artificial Analysis,,"Service Load,Prompt Length,Evaluation Metric",,,English,Text
LLM Benchmarker Suite,,"gh:Regular Table,iw:Sortable Table",,"gh,iw",,,TheoremOne,,,,,English,"Text,Code"
LLM Safety Leaderboard,,hf:Sortable Table,,hf,,hf,"University of Illinois Urbana Champaign,Stanford University,University of California Berkeley,Center for AI Safety,Microsoft,Chinese University of Hong Kong",NeurIPS,,Model Repository,Submission Portal,English,Text
LLM-Leaderboard,,"gh:Regular Table,iw:Sortable Table,hf:Sortable Table",,"gh,hf,iw","hf,iw","gh,hf,iw",Independent Contributor,,,Evaluation Results,Pull Request,English,"Text,Code"
LLM-Perf Leaderboard,,hf:Sortable Table+Scatter Plot,,hf,,hf,Hugging Face,,,,,English,Text
LLMEval,,"iw:Regular Table,gh:Regular Table+Bar Chart",,"gh,iw",,,"Fudan University,Shanghai Jiaotong University",AAAI,"Aggregated Result,Leaderboard Version",Prediction Results,Submission Portal,Chinese,Text
LLMonitor,,iw:Regular Table,"Contact,Issue",iw,,,Lunary,,,,,English,Text
LLMPerf,,gh:Regular Table+Bar Chart,,gh,,,Anyscale,,"Evaluation Metric,Model Size",Inference API,"Email,Issue",English,Text
LMExamQA,,iw:Bar Chart,Contact,iw,iw,,"Tsinghua University,Singapore Management University,University of California Los Angeles,Beijing University of Posts and Telecommunications",Preprint,"Aggregated Result,Task,Evaluation Dataset",,,English,Text
LogiQA,,,,pwc,,,,IJCAI,,,,English,Text
LongBench,,gh:Regular Table,,gh,,,"Tsinghua University,Chinese Academy of Sciences",Preprint,"Supported Language,Task",,,"English,Chinese","Text,Code"
LVLM-eHub,,iw:Sortable Table+Regular Table,Contact,iw,,iw,"Shanghai AI Laboratory,University of Hong Kong,Peking University",Preprint,"Aggregated Result,Supported Functionality,Evaluation Metric","Evaluation Results,Inference API+Model Configuration",Email,English,"Text,Image"
M3DBench,,gh:Sortable Table,,gh,,,"Fudan University,Tencent,Institute for Infocomm Research,A*STAR",Preprint,,,,English,"Text,Model"
M3KE,,gh:Regular Table,,gh,,gh,"Tianjin University,Huawei Noah's Ark Lab",Preprint,#Prompt Example,?,"Email,Pull Request",Chinese,Text
MATH,,,,pwc,,,,NeurIPS,,,,English,Text
MATH401,,gh:Table Screenshot,,gh,,,"Alibaba Group,Tsinghua University",Preprint,Evaluation Metric,,,English,Text
MathBench,,gh:Regular Table,,gh,,gh,?,?,Aggregated Result,?,Issue,"English,Chinese",Text
MathQA,,,,pwc,,,,NAACL,,,,English,Text
MathVista,,gh:Bar Chart+Regular Table+Sortable Table,,gh,,gh,"University of California Los Angeles,University of Washington,Microsoft",ICLR,Evaluation Dataset,Prediction Results,Email,English,Text
MAWPS,,,,pwc,,,,NAACL,,,,English,Text
MBPP,,,,pwc,,,,Preprint,,,,English,"Text,Code"
MC-TACO,,,,pwc,,,,EMNLP,,,,English,Text
MC-TACO,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,EMNLP,,Prediction Results,Submission Portal,English,Text
MedBench,,iw:Sortable Table,"Contact,Issue",iw,,,"East China Normal University,Shanghai AI Laboratory,Hasso Plattner Institute,University of Potsdam,Shanghai Jiao Tong University",Preprint,"Task,Aggregated Result",Prediction Results,Submission Portal,Chinese,Text
MedQA,,,,pwc,,,,Applied Sciences,,,,English,Text
Mementos,,gh:Table Screenshot+Regular Table,,gh,,gh,"University of Maryland College Park,University of North Carolina Chapel Hill",Preprint,Aggregated Result,Prediction Results,Email,English,"Text,Image"
MGSM,,,,pwc,,,,ICLR,,,,"Bengali,Chinese,French,German,Japanese,Russian,Spanish,Swahili,Telugu,Thai.",Text
MINT-Bench,,iw:Sortable Bar Chart+Line Chart+Sortable Table,,iw,,,"University of Illinois Urbana Champaign,Renmin University of China",Preprint,"Aggregated Result,Supported Functionality",Prediction Results,Pull Request,English,Text
MiT,,,,pwc,,,,PAMI,,,,English,"Text,Video"
MLLM-Bench,,"gh:Regular Table,iw:Regular Table",,"gh,iw",,,"Shenzhen Research Institute of Big Data,Chinese University of Hong Kong",Preprint,,,,English,"Text,Image"
MLS,,,,pwc,,,,Interspeech,,,,"English,German,Dutch,Spanish,French,Italian,Portuguese,Polish","Text,Audio"
MM-Vet,,,,pwc,,,,Preprint,,,,English,"Text,Image"
MMBench,,"hf:Sortable Table,iw:Sortable Table",,"hf,iw",,"hf,iw","Shanghai AI Laboratory,Nanyang Technological University,Chinese University of Hong Kong,National University of Singapore,Zhejiang University",Preprint,"Evaluation Dataset,Supported Language,Model Accessibility",Prediction Results,Submission Portal,"English,Chinese","Text,Image"
MMCU,,gh:Regular Table,,gh,,,Besteasy,Preprint,"Task,Aggregated Result",,,Chinese,Text
MME,,gh:Regular Table,,gh,,gh,"Tencent Youtu Lab,Xiamen University",Preprint,"Task,Supported Functionality,Model Type",?,Email,English,"Text,Image"
MMLU,,,,pwc,,,,ICLR,,,,English,Text
MMLU,,gh:Regular Table,,gh,,gh,"University of California Berkeley,Columbia University,University of Chicago,University of Illinois Urbana Champaign",ICLR,,?,"Email,Pull Request",English,Text
MMLU-by-task Leaderboard,,hf:Sortable Table+Scatter Plot,,hf,hf,hf,"Hugging Face,Independent Contributor",,,,,English,Text
MMMU,,gh:Sortable Table+Regular Table+Bar Chart,,gh,,gh,"in.ai,University of Waterloo,Ohio State University,Carnegie Mellon University,University of Victoria,Princeton University,Independent Contributor",Preprint,"Task,Evaluation Dataset,Supported Functionality,Aggregated Result",Prediction Results,Submission Portal,English,"Text,Image"
MMVP,,gh:Bar Chart,,gh,,,"New York University,University of California Berkeley",ICCV,,,,English,"Text,Image"
MMVP-VLM,,gh:Table Screenshot,,gh,,,"New York University,University of California Berkeley",ICCV,,,,English,"Text,Image"
MNLI,,,,pwc,,,,NAACL,,,,English,Text
MOCHA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,EMNLP,,Prediction Results,Submission Portal,English,Text
Models Leaderboard,,iw:Sortable Table+Scatter Plot+Box Plot+Bar Chart+Line Chart,Contact,iw,,iw,Artificial Analysis,,"Service Load,Prompt Length,Benchmark,Evaluation Metric",,,English,Text
MP-DocVQA,,iw:Sortable Table+Bar Chart,,iw,,iw,Autonomous University of Barcelona,Pattern Recognition,,Prediction Results,Submission Portal,English,"Text,Image"
MRPC,,,,pwc,,,,IJCNLP,,,,English,Text
MSCOCO,,,,pwc,,,,ECCV,,,,English,"Text,Image"
MSRVTT,,,,pwc,,,,CVPR,,,,English,"Text,Video"
MSRVTT-QA,,,,pwc,,,,ACM-MM,,,,English,"Text,Video"
MSVD,,,,pwc,,,,ACL,,,,English,"Text,Video"
MSVD-QA,,,,pwc,,,,ACM-MM,,,,English,"Text,Video"
MTEB,,"hf:Sortable Table,gh:Regular Table,iw:Sortable Table",,"gh,hf,pwc,iw",iw,"gh,hf,iw","Hugging Face,Cohere",EACL,"Supported Language,Task",Evaluation Results,Metadata Upload,"Afrikaans,Albanian,Amharic,Arabic,Armenian,Assamese,Azerbaijani,Bangla,Basque,Belarusian,Bosnian,Breton,Bulgarian,Burmese,Catalan,Cebuano,Chichewa,Chinese (Simplified),Chinese (Traditional),Corsican,Croatian,Czech,Danish,Dhivehi,Dutch,English,Esperanto,Estonian,Ewe,Filipino,Finnish,French,Frisian,Galician,Georgian,German,Greek,Guarani,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Korean,Kurdish (Kurmanji),Kyrgyz,Lao,Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Mongolian,Nepali,Norwegian,Odia (Oriya),Pashto,Persian,Polish,Portuguese,Punjabi,Quechua,Romanian,Russian,Samoan,Sanskrit,Scots Gaelic,Serbian,Sesotho,Shona,Sindhi,Sinhala,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Tatar,Telugu,Thai,Tigrinya,Tsonga,Turkish,Turkmen,Ukrainian,Urdu,Uyghur,Uzbek",Text
Multi-modal Model Leaderboard,,"iw:Sortable Table,hf:Sortable Table",,"hf,iw",,"hf,iw","Aliyun,East Money,Duxiaoman,Fudan University,Nanjing University,Nanyang Technological University,OPPO,Shanghai AI Laboratory,Tencent,TigerResearch,Chinese University of Hong Kong,Zhejiang University,Zhipu AI",,,"Inference API+Model Configuration,Model Repository+Model Configuration",Submission Portal,"English,Chinese","Text,Image"
MultiRC,,,,pwc,,,,NAACL,,,,English,Text
MusicCaps,,,,pwc,,,,Preprint,,,,English,"Text,Audio"
MusicCaps,,,,pwc,,,,Preprint,,,,English,"Text,Audio"
MusicQA,,,,pwc,,,,Preprint,,,,English,"Text,Audio"
MVBench,,"hf:Sortable Table,gh:Table Screenshot",,"gh,hf",hf,,"Chinese Academy of Sciences,University of Chinese Academy of Sciences,Shanghai AI Laboratory,University of Hong Kong,Fudan University,Nanjing University",Preprint,"Task,Aggregated Result",Evaluation Results,Submission Portal,English,"Text,Video"
Natural Instructions (v2),,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,ACL,,Prediction Results,Submission Portal,English,Text
NExT-QA,,,,pwc,,,,CVPR,,,,English,"Text,Video"
NLVR,,,,pwc,,,,ACL,,,,English,"Text,Image"
NoCaps,,,,pwc,,,,ICCV,,,,English,"Text,Image"
